"FTM Limite diffraction_x","FTM Limite diffraction_y","0.0_x","0.0_y","0.5_x","0.5_y","1.0_x","1.0_y","1.5_x","1.5_y"
4.759856631,0.6643430491,17.1875,0.07103440782,17.1875,0.07666003881,17.1875,0.07933182766,17.1875,0.05961442759,
4.786901271,0.6624869515,17.28515625,0.0708971443,17.28515625,0.07433004313,17.28515625,0.07698026085,17.28515625,0.0579658651,
4.813945911,0.6606317375,17.3828125,0.07072011362,17.3828125,0.0722290936,17.3828125,0.07466058335,17.3828125,0.05624671497,
4.840990551,0.6587774125,17.48046875,0.0704556876,17.48046875,0.07037000437,17.48046875,0.0723892336,17.48046875,0.05446911918,
4.868035191,0.656923982,17.578125,0.0700471018,17.578125,0.06874925398,17.578125,0.07017601532,17.578125,0.05265085584,
4.895079831,0.6550714514,17.67578125,0.06943129575,17.67578125,0.06734672376,17.67578125,0.06802308607,17.67578125,0.05081259747,
4.922124471,0.6532198262,17.7734375,0.06854321741,17.7734375,0.06612734275,17.7734375,0.06592525302,17.7734375,0.04897475365,
4.94916911,0.651369112,17.87109375,0.0673210659,17.87109375,0.06504445817,17.87109375,0.06387161425,17.87109375,0.04715433932,
4.97621375,0.6495193142,17.96875,0.06571183784,17.96875,0.06404439178,17.96875,0.06184831861,17.96875,0.04536236532,
5.00325839,0.6476704383,18.06640625,0.06367656079,18.06640625,0.06307144567,18.06640625,0.05984198722,18.06640625,0.04360222042,
5.03030303,0.6458224899,18.1640625,0.0611947011,18.1640625,0.06207262934,18.1640625,0.05784320287,18.1640625,0.04186937846,
5.05734767,0.6439754746,18.26171875,0.05826737563,18.26171875,0.06100154894,18.26171875,0.05584945093,18.26171875,0.04015252982,
5.08439231,0.6421293977,18.359375,0.05491914186,18.359375,0.05982113851,18.359375,0.05386697745,18.359375,0.03843595533,
5.11143695,0.640284265,18.45703125,0.05119827051,18.45703125,0.05850514027,18.45703125,0.05191118547,18.45703125,0.0367027148,
5.13848159,0.638440082,18.5546875,0.04717551498,18.5546875,0.05703841372,18.5546875,0.05000539357,18.5546875,0.03493808099,
5.16552623,0.6365968541,18.65234375,0.04294148592,18.65234375,0.05541626418,18.65234375,0.04817802227,18.65234375,0.03313264315,
5.19257087,0.6347545871,18.75,0.03860282619,18.75,0.05364304426,18.75,0.04645855379,18.75,0.03128460707,
5.21961551,0.6329132865,18.84765625,0.03427747303,18.84765625,0.05173031364,18.84765625,0.04487291396,18.84765625,0.02940097889,
5.24666015,0.6310729579,18.9453125,0.03008940452,18.9453125,0.04969485384,18.9453125,0.04343918956,18.9453125,0.02749748311,
